=== POST METADATA ===
Post URL,https://www.instagram.com/reel/CZze5EshBlQ/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
Post Type,reel
Post Caption,"155K likes, 1,018 comments - doobydobap on February 10, 2022: ""247 or 95?

Spam Kimchi Fried Rice 
½ can spam
2 cups day old rice 
1 cup fermented kimchi 
mramdanh,"love u , ur so funny and cute when eat. hope u can visit indonesia, there is so much food u should try to eat xoxo",0
nesosuny,Do you dislike the fact that your passion became your work? And is it changing your perception of that passion? I'm curious I hope you reply,0
antoniobustamante,San Miguel! wattt 🔥,0
cesar74736,When I tried to make my passion my job it felt like I wasn't doing it because I enjoyed it anymore,0
_nick._.w,Money>,0
martin._.tkc,I need subtitles,0
heyjannica_,@ludicrie @asrloren spaaammm,0
@ludicrie,@ludicrie @asrloren spaaammm,0
@asrloren,@ludicrie @asrloren spaaammm,0
platossun,"The thing is, doesn't matter what I have passion for, I'll hate it if I do it all the time. I enjoy life where things I do change. Liking what I do isn't as much important as having different things to do to me.",0
aemi_panama,"what the fuck. video was pure bliss, audio is a fucking nightmare goodbye",0
woodsie_,I’ll always take the 9-5 in something I’m good at but don’t necessarily love with a hobby I love outside of work. Every hobby I have loved and tried to turn into work has ruined the fun and love for that hobby.,0
josefgutierrez167,Just like my wife makes 🌸,0
yggiboi,Ahhh san Miguel beer. A woman of culture no doubt. 😁,0
myvillainbrady,Mommy😍,0
notausd,"Man I really adore and respect you so much, thx for everything",0
keithybum,OK IM SIMPIN (SHE GOT THE BEER ??),0
thosewholeft7,dream girl,0
vecitikortomalteze,"You're adorable, great video. 👍👍",0
hydedabones,@garyvee yo you gon let her shade you like that? 🧐,0
@garyvee,@garyvee yo you gon let her shade you like that? 🧐,0
bbykas530,🥵😍😍,0
gonzalodurannyc,When she burped I left….,0
nolanf0044,🤘🔥,0
choccylachy,"Look I don't disagree but look at your apartment, look at the likes on your insta, etc - I don't think you can relate to an ordinary person enough to make this statement, nor can Gary V",0
docs2k,Finally found Tina’s IG! Time to support my homegirl,0
_jerryibarra_,That's some anime food there,0
chicanosprings,"I would rather have a mid level management position that pays reasonably well and is essentially 9 to 5, and have a hobby that I love. For me that’s Brazilian jujitsu, that over a salary any day.",0
m.chrisel.db,"love everything you do, including that spam lid saver. WHERE CAN I FINDDDDDDDD",0
laurenkhouryy,Rhetoric not repertoire,0
jstadwtr,That spam though,0
romskee,@hasissstar,0
@hasissstar,romskee,0
braham_wijaya,Imagine you shot your families head -Garry vee,0
_xmexo,I don't listen single word all I am was watching the food😅,0
lil_kur0,"FACTS! I never understood why people have an issue with 9-5s. Because supposedly it’s better to “work for yourself.” Nah, I’d rather work 9-5 and enjoy my free time to the fullest. And who says you can’t enjoy your job if it’s 9-5? As a People Analyst, I fucking love my job! And yes, it’s a 9-5p.",0
davidguntoro,@winardyh ada sih doi,0
@winardyh,@winardyh ada sih doi,0
kali_man_see_vrmc,that #sanmig though!,0
tranomatic,Where you get that spam lid? I need that,0
justin_sindecuse,Rhetoric*,0
heeingenious,Do you boo but when you're 60 and broke you will wish you had hustled more,0
brianivander,What's the recipe?,0
fonzy1990,Looks fire 🔥🔥🔥,0
gnarly_norm,Cute girl.,0
austineancheta_,You go girl,0
mason_moreau01,"you can be passionate about your 8-6 and still enjoy hobbies outside of that. nothing has to be a black and white, this or that type of choice. mix in some of what you love everywhere and enjoy all of it!",0
an21_0,Lol I heard nothing just cause you look cute :3,0
the_lastmojican,I’m hungry now,0
adrianzmith,Is that a breville espresso machine? 🤔,0
aanya_bhalla,it’s not like 9 to 5 or 24/7 are the two options,0
pollyhindle,"WOW, a lid for the spam, not in the UK 😢",0
_quasson,im salivating rn,0
mike_d730,I love spam fried rice and you 🔥,0
adhyaoflaniakea,Love the burp 🤣,0
templarcross_morgantrousdale,"What if you are 21 and still have no idea what your passion is? Couldn't be me........ haha. Also I just don't give a shit what someone who isn't me or my direct think about me, even then what my direct family thinks about me only matters sometimes. In the end you are the one who has to live with yourself no one else, so who gives a f*** what others think.",0
kitastrophist,"""Repertoire"", axiom, and archetype feel out of place in this. Dictionary > thesaurus",0
knoxslukas,That beer looked refreshing af,0
iamstorm,San Miguel beer. 👌👌👌,0
chiclete90,"If you work 24/7 at your passion, it's no longer passion. It's grit.",0
ihml.lip,she looks like elon musk tho wtf,0
miamiaperture,Lol I bet that hit🔥,0
san_sam_mack,"I have a 9-5 that I am passionate about, have time for my hobbies and side money goes to side revenues that require maybe 5 hrs a week.",0
u.y_lee,Video has nothing to do with what u r saying 😅🤦‍♂️,0
c6mikey,GRIND WHEN YOUR YOUNG,0
evan1055,This is awesome!,0
gabrold,God that rice look good,0
david.abell.779,😁💖,0
rbniccheez,Live for today because tomorrow is not promised. The YOLO gen.,0
sithers,Up to the individual to figure out what works for them.,0
spagett_aboutit,Trust fund baby,0
cleo.alvrz02,That San Miguel Pilsen was not expected 😮,0
iamasleep1016,@rhlnlw.ayin,0
@rhlnlw.ayin,iamasleep1016,0
gihyeonyi,Love your low voice..🤎,0
jmp._.uuu,Damn and a san miguel,0
systematicallytrippin,🙏💛,0
xxkasperjamesxx,16 hours a day doing something I love is better than building someone else's wealth.,0
han.k.choiii,this looks so fucking good,0
perceyhere,Seriously like just let me work my 9-5 that makes me a good pay check have my hobbies and lot of fun on the weekend with a few vacations a year like why is it that is so bad now to just not want to be exorbitantly rich,0
fauzanflare,That is such a cute apron..,0
fiennylam,thanks for this post❤️,0
maxwellsmart64,Yeh I'm working 40 hours and love my free time with the 10 hobbies I'm juggling ^-^,0
gwb_70,"I never heard one word she said I was too interested in the food she was making, looks delicious",0
cam.geer,Love this point,0
shaz.c2013,Med students thinking about the next couple decades: 😐,0
skape_zilla,I agree… they say money doesn’t buy happiness but paying your bills and taking care of your people means so much.,0
_tcru_,Wow you made spam look good 😂,0
upapi__,Wait is that a reusable spam tin? What… where?,0
austin_euro383,"Honestly, I’m in the same boat right now , I’m trying to start a career out of college but I’m struggling , I’d love some advice",0
ajnunyobidnis,Not sure if this is your audio but repertoire may not be the right word here. Are you thinking repartee?,0
krdoloroso,"Woah, when did SPAM have plastic covers???",0
some_dude_you_know_maybe,"I think it’s better to start from a stable 9-5, and if you feel stable enough to make or break it, you should try to make your hobby a career.",0
prahalad.puneeth,Nah they correct,0
takutnt,That looks yummy!! I love SPAM fried rice,0
luweedsi,LMAO THE NAME DROPPING,0
travel_veteran,This looks nasty,0
